itemid,label,category,value,dbsource,positive_turning_maneuver
224093,Position,Treatments,Swimmers Position - R,metavision,0
547,Position,,Right Side,carevue,1
1844,position,,0.5,carevue,0
1844,position,,proned,carevue,0
547,Position,,Supine,carevue,0
547,Position,,,carevue,0
224093,Position,Treatments,Right Side,metavision,1
547,Position,,PRONATE,carevue,0
224093,Position,Treatments,Rotating,metavision,0
224093,Position,Treatments,Swimmers Position - L,metavision,0
547,Position,,PRONE,carevue,0
547,Position,,SUPINE,carevue,0
1844,position,,prone,carevue,0
1844,position,,PRONED,carevue,0
224093,Position,Treatments,Prone,metavision,0
547,Position,,Left Side,carevue,1
547,Position,,Prone,carevue,0
547,Position,,supine,carevue,0
227922,Position - Activity - Aerobic Activity Response,OT Notes,Sit,metavision,0
227922,Position - Activity - Aerobic Activity Response,OT Notes,Stand,metavision,0
227922,Position - Activity - Aerobic Activity Response,OT Notes,Supine,metavision,0
227929,Position - Recovery - Aerobic Activity Response,OT Notes,Sit,metavision,0
227929,Position - Recovery - Aerobic Activity Response,OT Notes,Supine,metavision,0
227929,Position - Recovery - Aerobic Activity Response,OT Notes,Stand,metavision,0
227915,Position - Rest - Aerobic Activity Response,OT Notes,Supine,metavision,0
227915,Position - Rest - Aerobic Activity Response,OT Notes,Sit,metavision,0
227915,Position - Rest - Aerobic Activity Response,OT Notes,Stand,metavision,0
3576,Position at Breast,,Cradle,carevue,0
3576,Position at Breast,,Football,carevue,0
3576,Position at Breast,,,carevue,0
3576,Position at Breast,,Comment,carevue,0
224066,Position Change,Restraint/Support Systems,Not Done,metavision,0
227952,Position Change,Restraint/Support Systems,Not Done,metavision,0
548,Position Change,,Not Done,carevue,0
227952,Position Change,Restraint/Support Systems,Done,metavision,0
548,Position Change,,Other,carevue,0
224066,Position Change,Restraint/Support Systems,Done,metavision,0
548,Position Change,,Done,carevue,0
548,Position Change,,,carevue,0
5374,position rotated 180,,rotated,carevue,0
5374,position rotated 180,,Done,carevue,0
5374,position rotated 180,,yes,carevue,0
5374,position rotated 180,,,carevue,0
5374,position rotated 180,,done,carevue,0
224088,Pressure Reducing Device,Treatments,Footboard/Cradle,metavision,0
579,PressureReduceDevice,,FootBoard/Cradle,carevue,0
5999,prone/supine,,prone,carevue,0
5999,prone/supine,,supine,carevue,0
8083,proning via bed.,,supine,carevue,0
8083,proning via bed.,,prone,carevue,0
623,Restraints Evaluated,,BehaviorReturned,carevue,0
224068,Restraints Evaluated_V1,Restraint/Support Systems,Behavior Returned,metavision,0
223956,Temporary Pacemaker Mode,Cardiovascular (Pacer Data),Pacer Turned Off,metavision,0
680,Therapeutic Bed,,Rotoprone Therap,carevue,0
224087,Therapeutic Bed,Treatments,RotoProne,metavision,0
224082,Turn,Treatments,Turns by Self,metavision,0
704,Turn,,Side to Side,carevue,1
704,Turn,,Logroll x4assist,carevue,0
224082,Turn,Treatments,Logroll x4 Assist,metavision,0
704,Turn,,Back,carevue,1
704,Turn,,,carevue,0
224082,Turn,Treatments,Side to Side,metavision,1
704,Turn,,Logroll,carevue,0
224082,Turn,Treatments,Right Side,metavision,1
224082,Turn,Treatments,Back,metavision,1
224082,Turn,Treatments,Left Side,metavision,1
704,Turn,,Turns by self,carevue,0
224082,Turn,Treatments,Logroll,metavision,0
224082,Turn,Treatments,Prone,metavision,0
704,Turn,,Left Side,carevue,1
704,Turn,,Right Side,carevue,1
704,Turn,,Proned,carevue,0
